type,epsilon,perplexity,distance
b,1,2,48.2946042485497
w,1,2,1292.24405263251
b,1,3,43.5704152514921
w,1,3,1033.97212264242
b,1,4,31.0216807673237
w,1,4,950.125956286936
b,1,5,44.5573580454974
w,1,5,1172.08147450056
b,1,6,30.612627379298
w,1,6,858.726724985908
b,1,7,34.6716079732829
w,1,7,737.872602484754
b,1,8,26.7014164481694
w,1,8,749.811975942846
b,1,9,13.0950226735811
w,1,9,355.358910530815
b,1,10,10.1599368954123
w,1,10,275.5336343429
b,1,11,10.5678073954848
w,1,11,239.217073934583
b,1,12,8.23074540068385
w,1,12,204.558137145692
b,1,13,5.83564030885536
w,1,13,151.586953756452
b,1,14,5.44429256479758
w,1,14,144.975174859321
b,1,15,5.75263859914654
w,1,15,138.8565306674
b,1,16,3.52799791666801
w,1,16,90.6747265275957
b,1,17,4.57315917402789
w,1,17,115.488199663229
b,1,18,3.41312215025302
w,1,18,84.8085141946623
b,1,19,3.77205006285865
w,1,19,99.5923100145405
b,1,20,3.21909576763504
w,1,20,89.5165185279327
b,1,21,2.67548891846607
w,1,21,62.2460976273657
b,1,22,2.0638634270509
w,1,22,52.6551998679243
b,1,23,2.92551439061647
w,1,23,67.4895521887492
b,1,24,2.56946596067352
w,1,24,57.8902033484154
b,1,25,2.34363918715828
w,1,25,58.4047508630892
b,1,26,2.26913574880536
w,1,26,53.8852881250925
b,1,27,1.87049925073317
w,1,27,49.7329659318355
b,1,28,1.899852110591
w,1,28,43.9542031407697
b,1,29,1.52092020077829
w,1,29,37.1103924608486
b,1,30,1.68091260599558
w,1,30,38.3286212309534
b,1,31,1.37258023081481
w,1,31,35.5892923504948
b,1,32,1.3749135452317
w,1,32,28.5790243927402
b,1,33,1.13208257562865
w,1,33,27.3614132182856
b,1,34,1.18126098781864
w,1,34,25.3914554414064
b,1,35,1.44519893423323
w,1,35,25.5708764061692
b,1,36,1.53386131949457
w,1,36,22.3686193764235
b,1,37,1.13296106894695
w,1,37,15.9605934840502
b,1,38,1.22387788066294
w,1,38,15.0715405369454
b,1,39,1.16933991017942
w,1,39,18.9279482082251
b,1,40,1.16064307401853
w,1,40,9.27097055525718
b,1,41,1.67755224895341
w,1,41,18.8887897192975
b,1,42,1.60902639731056
w,1,42,19.936626616363
b,1,43,1.67755224895341
w,1,43,19.0038372309406
b,1,44,1.68176009751013
w,1,44,21.0972093825561
b,1,45,1.80348857822274
w,1,45,22.0659590179066
b,1,46,1.69330108630324
w,1,46,23.9923579547685
b,1,47,1.80348857822274
w,1,47,26.7905679962488
b,1,48,1.80348857822274
w,1,48,29.5995175894695
b,1,49,1.80348857822274
w,1,49,28.3726020093998
b,1,50,1.80348857822274
w,1,50,27.0759959833796
b,1,51,1.80348857822274
w,1,51,27.0759959833796
b,1,52,1.80348857822274
w,1,52,27.0759959833796
b,1,53,1.80348857822274
w,1,53,27.0759959833796
b,1,54,1.80348857822274
w,1,54,27.0759959833796
b,1,55,1.80348857822274
w,1,55,27.0759959833796
b,1,56,1.80348857822274
w,1,56,27.0759959833796
b,1,57,1.80348857822274
w,1,57,27.0759959833796
b,1,58,1.80348857822274
w,1,58,27.0759959833796
b,1,59,1.80348857822274
w,1,59,27.0759959833796
b,1,60,1.80348857822274
w,1,60,27.0759959833796
b,1,61,1.80348857822274
w,1,61,27.0759959833796
b,1,62,1.80348857822274
w,1,62,27.0759959833796
b,1,63,1.80348857822274
w,1,63,27.0759959833796
b,1,64,1.80348857822274
w,1,64,27.0759959833796
b,1,65,1.80348857822274
w,1,65,27.0759959833796
b,1,66,1.80348857822274
w,1,66,27.0759959833796
b,1,67,1.80348857822274
w,1,67,27.0759959833796
b,1,68,1.80348857822274
w,1,68,27.0759959833796
b,1,69,1.80348857822274
w,1,69,27.0759959833796
b,1,70,1.80348857822274
w,1,70,27.0759959833796
b,1,71,1.80348857822274
w,1,71,27.0759959833796
b,1,72,1.80348857822274
w,1,72,27.0759959833796
b,1,73,1.80348857822274
w,1,73,27.0759959833796
b,1,74,1.80348857822274
w,1,74,27.0759959833796
b,1,75,1.80348857822274
w,1,75,27.0759959833796
b,1,76,1.80348857822274
w,1,76,27.0759959833796
b,1,77,1.80348857822274
w,1,77,27.0759959833796
b,1,78,1.80348857822274
w,1,78,27.0759959833796
b,1,79,1.80348857822274
w,1,79,27.0759959833796
b,1,80,1.80348857822274
w,1,80,27.0759959833796
b,1,81,1.80348857822274
w,1,81,27.0759959833796
b,1,82,1.80348857822274
w,1,82,27.0759959833796
b,1,83,1.80348857822274
w,1,83,27.0759959833796
b,1,84,1.80348857822274
w,1,84,27.0759959833796
b,1,85,1.80348857822274
w,1,85,27.0759959833796
b,1,86,1.80348857822274
w,1,86,27.0759959833796
b,1,87,1.80348857822274
w,1,87,27.0759959833796
b,1,88,1.80348857822274
w,1,88,27.0759959833796
b,1,89,1.80348857822274
w,1,89,27.0759959833796
b,1,90,1.80348857822274
w,1,90,27.0759959833796
b,1,91,1.80348857822274
w,1,91,27.0759959833796
b,1,92,1.80348857822274
w,1,92,27.0759959833796
b,1,93,1.80348857822274
w,1,93,27.0759959833796
b,1,94,1.80348857822274
w,1,94,27.0759959833796
b,1,95,1.80348857822274
w,1,95,27.0759959833796
b,1,96,1.80348857822274
w,1,96,27.0759959833796
b,1,97,1.80348857822274
w,1,97,27.0759959833796
b,1,98,1.80348857822274
w,1,98,27.0759959833796
b,1,99,1.80348857822274
w,1,99,27.0759959833796
b,1,100,1.80348857822274
w,1,100,27.0759959833796
b,2,2,54.3503682408261
w,2,2,1255.29765304845
b,2,3,37.1567401853971
w,2,3,914.235007083071
b,2,4,44.9059792630566
w,2,4,1137.99388584599
b,2,5,43.9987844188683
w,2,5,1021.45958975568
b,2,6,21.9037116371634
w,2,6,492.46070527824
b,2,7,30.9504506597076
w,2,7,870.781325927072
b,2,8,26.1402362400271
w,2,8,732.500305511835
b,2,9,18.2702887840441
w,2,9,500.936983377113
b,2,10,13.1365610384107
w,2,10,303.754931676555
b,2,11,10.8708845811808
w,2,11,271.168788201288
b,2,12,6.85130607323356
w,2,12,184.581822629758
b,2,13,7.40352322265878
w,2,13,183.924169381153
b,2,14,6.24211970612159
w,2,14,162.190525957522
b,2,15,5.69001363357166
w,2,15,144.689222379188
b,2,16,4.90751699478843
w,2,16,127.557067362468
b,2,17,4.06892452552625
w,2,17,102.170963763726
b,2,18,3.95551217224506
w,2,18,106.297148485114
b,2,19,4.13290035600077
w,2,19,93.4042668618648
b,2,20,3.33896828776374
w,2,20,72.956200478247
b,2,21,3.65268576376092
w,2,21,79.7200700370108
b,2,22,3.37800475915734
w,2,22,73.1934794994002
b,2,23,2.25001576728953
w,2,23,58.0007505173644
b,2,24,2.05549567513761
w,2,24,44.2883800544201
b,2,25,2.85687008203185
w,2,25,58.3132907408285
b,2,26,1.93996842200349
w,2,26,53.9677794489269
b,2,27,1.90678554999437
w,2,27,49.6441431472618
b,2,28,1.63173166907506
w,2,28,46.3479565802528
b,2,29,1.96710774742153
w,2,29,44.6540142640645
b,2,30,1.68093537419028
w,2,30,39.3607133479342
b,2,31,1.52585796459237
w,2,31,35.5568542591569
b,2,32,1.20051451765369
w,2,32,26.2719326899924
b,2,33,1.49344217246126
w,2,33,28.8509336351205
b,2,34,0.52806369281726
w,2,34,17.5101084290254
b,2,35,1.13888090677796
w,2,35,21.0885667567555
b,2,36,1.45309021061242
w,2,36,22.2898454629854
b,2,37,1.23040955089839
w,2,37,19.4004780594684
b,2,38,1.67755224895341
w,2,38,19.9640761119598
b,2,39,1.67755224895341
w,2,39,19.3109945483091
b,2,40,1.50644922462404
w,2,40,18.9874264833881
b,2,41,1.53771942373561
w,2,41,15.31101334494
b,2,42,1.44221878704252
w,2,42,15.4191800884217
b,2,43,1.67755224895341
w,2,43,20.738233500353
b,2,44,1.79595191827869
w,2,44,21.7755858938529
b,2,45,1.67755224895341
w,2,45,23.1407305446654
b,2,46,1.80348857822274
w,2,46,25.4407853887233
b,2,47,1.80348857822274
w,2,47,27.3808149068987
b,2,48,1.80348857822274
w,2,48,28.6288531586577
b,2,49,1.80348857822274
w,2,49,28.3515216067741
b,2,50,1.80348857822274
w,2,50,27.0759959833796
b,2,51,1.80348857822274
w,2,51,27.0759959833796
b,2,52,1.80348857822274
w,2,52,27.0759959833796
b,2,53,1.80348857822274
w,2,53,27.0759959833796
b,2,54,1.80348857822274
w,2,54,27.0759959833796
b,2,55,1.80348857822274
w,2,55,27.0759959833796
b,2,56,1.80348857822274
w,2,56,27.0759959833796
b,2,57,1.80348857822274
w,2,57,27.0759959833796
b,2,58,1.80348857822274
w,2,58,27.0759959833796
b,2,59,1.80348857822274
w,2,59,27.0759959833796
b,2,60,1.80348857822274
w,2,60,27.0759959833796
b,2,61,1.80348857822274
w,2,61,27.0759959833796
b,2,62,1.80348857822274
w,2,62,27.0759959833796
b,2,63,1.80348857822274
w,2,63,27.0759959833796
b,2,64,1.80348857822274
w,2,64,27.0759959833796
b,2,65,1.80348857822274
w,2,65,27.0759959833796
b,2,66,1.80348857822274
w,2,66,27.0759959833796
b,2,67,1.80348857822274
w,2,67,27.0759959833796
b,2,68,1.80348857822274
w,2,68,27.0759959833796
b,2,69,1.80348857822274
w,2,69,27.0759959833796
b,2,70,1.80348857822274
w,2,70,27.0759959833796
b,2,71,1.80348857822274
w,2,71,27.0759959833796
b,2,72,1.80348857822274
w,2,72,27.0759959833796
b,2,73,1.80348857822274
w,2,73,27.0759959833796
b,2,74,1.80348857822274
w,2,74,27.0759959833796
b,2,75,1.80348857822274
w,2,75,27.0759959833796
b,2,76,1.80348857822274
w,2,76,27.0759959833796
b,2,77,1.80348857822274
w,2,77,27.0759959833796
b,2,78,1.80348857822274
w,2,78,27.0759959833796
b,2,79,1.80348857822274
w,2,79,27.0759959833796
b,2,80,1.80348857822274
w,2,80,27.0759959833796
b,2,81,1.80348857822274
w,2,81,27.0759959833796
b,2,82,1.80348857822274
w,2,82,27.0759959833796
b,2,83,1.80348857822274
w,2,83,27.0759959833796
b,2,84,1.80348857822274
w,2,84,27.0759959833796
b,2,85,1.80348857822274
w,2,85,27.0759959833796
b,2,86,1.80348857822274
w,2,86,27.0759959833796
b,2,87,1.80348857822274
w,2,87,27.0759959833796
b,2,88,1.80348857822274
w,2,88,27.0759959833796
b,2,89,1.80348857822274
w,2,89,27.0759959833796
b,2,90,1.80348857822274
w,2,90,27.0759959833796
b,2,91,1.80348857822274
w,2,91,27.0759959833796
b,2,92,1.80348857822274
w,2,92,27.0759959833796
b,2,93,1.80348857822274
w,2,93,27.0759959833796
b,2,94,1.80348857822274
w,2,94,27.0759959833796
b,2,95,1.80348857822274
w,2,95,27.0759959833796
b,2,96,1.80348857822274
w,2,96,27.0759959833796
b,2,97,1.80348857822274
w,2,97,27.0759959833796
b,2,98,1.80348857822274
w,2,98,27.0759959833796
b,2,99,1.80348857822274
w,2,99,27.0759959833796
b,2,100,1.80348857822274
w,2,100,27.0759959833796
b,3,2,58.8253475461565
w,3,2,1360.69781216526
b,3,3,55.3233167901682
w,3,3,1258.15647390822
b,3,4,53.7352519344892
w,3,4,1337.70783781806
b,3,5,34.8971450940108
w,3,5,952.344931709308
b,3,6,39.9280215666806
w,3,6,863.815319013547
b,3,7,38.2459648553992
w,3,7,953.05415094661
b,3,8,25.0338213961186
w,3,8,692.618044954494
b,3,9,22.5615451214972
w,3,9,541.195404140513
b,3,10,11.1946262435953
w,3,10,297.009373124818
b,3,11,9.40623702762954
w,3,11,235.097021543047
b,3,12,6.53533708138051
w,3,12,142.128415061943
